"subject_code","topic","stem","choice_a","choice_b","choice_c","choice_d","correct","explanation","difficulty"
"AUD","Auditing in an IT Environment","An auditor reviews controls that govern who may log in to the financial reporting system and what data each user may access. These controls are best classified as:","General controls over access security","Application input edit checks","Application output controls","Application processing controls","A","Logical access security restricting user authentication and authorization is a general IT control affecting the whole environment, not an application-specific edit check.","1"
"AUD","Auditing in an IT Environment","A payroll program rejects any entry where the hours-worked field contains alphabetic characters. This is an example of which application control?","A limit or reasonableness check","A check digit","A field or format check","A hash total","C","A field/format (data type) check tests whether the content of a field is the correct type, here numeric, rejecting alphabetic input.","1"
"AUD","Auditing in an IT Environment","A system flags any single sales order exceeding P500,000 for supervisory approval before processing. This edit is a:","Validity check","Limit or reasonableness check","Check digit","Control total","B","A limit/reasonableness check tests whether an amount falls within a predetermined boundary; orders above the P500,000 ceiling are flagged.","1"
"AUD","Auditing in an IT Environment","Before posting a batch of 200 invoices, the clerk compares the manually computed sum of all invoice amounts with the total the system computed after entry. This procedure relies on a:","Check digit","Validity check","Field check","Control total","D","A control total reconciles a pre-computed batch monetary total to the system-generated total to detect omitted or altered records during input/processing.","1"
"AUD","Auditing in an IT Environment","An extra digit appended to a customer account number is mathematically derived from the other digits so the system can detect transposition errors at entry. This control is a:","Hash total","Check digit","Limit check","Completeness check","B","A check digit is a redundant digit computed from the account number itself, allowing the system to detect mis-keyed or transposed identifiers on input.","1"
"AUD","Auditing in an IT Environment","An entity totals the otherwise meaningless employee ID numbers in a batch purely to confirm no records were lost in processing. The resulting figure is a:","Hash total","Control total","Check digit","Record count","A","A hash total sums a field that has no intrinsic monetary meaning solely to verify completeness of processing; it is not used for any other purpose.","1"
"AUD","Auditing in an IT Environment","An entity has weak general controls over program changes. The MOST appropriate audit response is to:","Rely fully on application controls since they operate automatically","Issue an adverse opinion on internal control","Ignore IT and audit only manual controls","Increase substantive testing because application controls cannot be relied upon throughout the period","D","Weak general controls undermine the consistent operation of automated application controls all period, so the auditor reduces reliance on those controls and expands substantive procedures.","2"
"AUD","Auditing in an IT Environment","Auditing through the computer is preferable to auditing around the computer when:","Source documents and detailed printed outputs are readily available","The volume of transactions is very low","Transactions are processed by complex logic and leave little visible audit trail","Input and output can be reconciled manually with ease","C","Auditing around the computer ignores processing and tests only inputs against outputs; it is inadequate when complex logic and a thin audit trail make the processing itself a key risk.","2"
"AUD","Auditing in an IT Environment","An auditor processes a set of fictitious transactions, including deliberately invalid ones, through the clients live application to verify that programmed controls reject errors. This CAAT is:","Parallel simulation","Generalized audit software","Test data","An embedded audit module","C","The test data technique submits auditor-prepared valid and invalid transactions through the entitys program to observe whether programmed controls function as expected.","2"
"AUD","Auditing in an IT Environment","An auditor builds an independent program that reprocesses the clients actual transaction data and compares its output to the output of the clients system. This describes:","Test data","Parallel simulation","An integrated test facility","A hash total","B","Parallel simulation runs the entitys real data through an auditor-controlled program and compares results, testing whether the clients processing is correct.","2"
"AUD","Auditing in an IT Environment","A dummy department is established within the live system so the auditors test transactions process alongside real ones without affecting actual records. This technique is:","Parallel simulation","Generalized audit software","Test data run in a separate copy","An integrated test facility","D","An integrated test facility (ITF) seeds fictitious entities into the production system so auditor test data flows through normal processing and is later reversed.","3"
