subject_code,topic,stem,choice_a,choice_b,choice_c,choice_d,correct,explanation,difficulty
"MAS","Management Accounting Basics & Cost Behavior","Which statement best describes management accounting as compared with financial accounting?","It must strictly comply with Philippine Financial Reporting Standards","It emphasizes audited historical reports prepared for external users","It is required by regulators for all corporations","It provides relevant information to internal decision makers and need not follow PFRS","D","Management accounting serves managers inside the firm; it is optional, future-oriented, and not bound by PFRS, which governs financial reporting to external users.","1"
"MAS","Management Accounting Basics & Cost Behavior","Which of the following is primarily a treasurership function rather than a controllership function?","Custody of cash and management of short-term investments","Preparation of financial statements","Administration of the budgeting process","Maintenance of accounting records and internal control over transactions","A","The treasurer is responsible for custody of funds, cash management, credit, and investments; reporting, budgeting, and record-keeping belong to the controller.","1"
"MAS","Management Accounting Basics & Cost Behavior","For a furniture manufacturer, which of the following is a product cost?","Advertising for the annual furniture trade fair","Depreciation of factory woodworking equipment","Commissions paid to sales agents","Salaries of the corporate accounting staff","B","Product costs are direct materials, direct labor, and factory overhead. Depreciation of factory equipment is factory overhead; the others are period (selling and administrative) costs.","2"
"MAS","Management Accounting Basics & Cost Behavior","Which cost element is included in both prime cost and conversion cost?","Direct materials","Direct labor","Factory overhead","Selling and administrative costs","B","Prime cost = direct materials + direct labor; conversion cost = direct labor + factory overhead. Direct labor appears in both.","1"
"MAS","Management Accounting Basics & Cost Behavior","A manufacturer incurred direct materials of P300,000, direct labor of P200,000, and factory overhead of P150,000 during the month. Conversion cost is:","P350,000","P450,000","P500,000","P650,000","A","Conversion cost = direct labor + factory overhead = P200,000 + P150,000 = P350,000. P500,000 is the prime cost and P650,000 is total manufacturing cost.","2"
"MAS","Management Accounting Basics & Cost Behavior","Which of the following is a sunk cost in a machine-replacement decision?","The book value of the old machine being replaced","The purchase price of the new machine","The future maintenance cost of the old machine if retained","The trade-in value offered for the old machine","A","A sunk cost is a past cost that cannot be changed by any future decision. The old machine's book value results from a past outlay and is irrelevant; the other items are future amounts that differ between alternatives.","1"
"MAS","Management Accounting Basics & Cost Behavior","Opportunity cost is best defined as:","A cost that was incurred in a prior period","A cost that requires a current cash outlay","The difference in total fixed costs between two alternatives","The benefit given up when one alternative is chosen over the next best alternative","D","Opportunity cost is the potential benefit forgone by selecting one course of action over the next best alternative; it is not recorded in the accounts but is relevant to decisions.","1"
"MAS","Management Accounting Basics & Cost Behavior","For decision-making purposes, a relevant cost is:","A past cost that differs among alternatives","A future cost that is the same across all alternatives","Any cost that is unavoidable","An expected future cost that differs between the alternatives being considered","D","To be relevant, a cost must both occur in the future and differ between alternatives. Past costs are sunk, and future costs common to all options do not affect the choice.","2"
"MAS","Management Accounting Basics & Cost Behavior","Total cost at 5,000 units of output is P200,000, of which P80,000 is fixed. Within the relevant range, total cost at 6,000 units is:","P144,000","P200,000","P224,000","P240,000","C","Variable cost per unit = (P200,000 − P80,000) ÷ 5,000 = P24. Total at 6,000 units = P80,000 + (6,000 × P24) = P224,000. P240,000 wrongly treats the entire cost as variable.","2"
"MAS","Management Accounting Basics & Cost Behavior","A company hires one quality inspector at a fixed monthly salary for every 1,000 units of monthly output. Over a wide range of output, total inspection salaries are best described as a:","Variable cost","Step cost","Committed fixed cost","Purely fixed cost","B","The cost is constant within narrow 1,000-unit bands but jumps to a higher level each time another inspector is added, which is the pattern of a step cost.","2"
