subject_code,topic,stem,choice_a,choice_b,choice_c,choice_d,correct,explanation,difficulty
"RFBT","Partnership Law","Andres and Bea contributed a parcel of land to their new partnership but signed only a private memorandum without any inventory of the property. What is the status of the partnership contract?","Void, because contribution of immovable property requires a public instrument with an attached inventory signed by the parties","Valid and binding, since partnership is a consensual contract perfected by mere consent","Voidable at the option of either partner within four years","Unenforceable until ratified in writing by both partners","A","Under the Civil Code, when immovable property is contributed, the partnership contract must appear in a public instrument with an inventory of the property signed by the parties and attached; non-compliance renders the contract void.","2"
"RFBT","Partnership Law","Carla receives a regular share of the profits of Delos Santos Trading. Which circumstance prevents this profit-sharing from being treated as prima facie evidence that she is a partner?","She agreed to share in the losses as well","She contributed money to the common fund","She received the share as installment payments of a debt owed to her","She participated in management decisions","C","The Civil Code lists exceptions where receipt of profits is not prima facie evidence of partnership, including profits received as payment of a debt by installments, as wages, as rent, as an annuity, or as interest on a loan.","2"
"RFBT","Partnership Law","Eduardo is an industrial partner in a construction firm. Which act is he prohibited from doing during the life of the partnership?","Engaging only in a business of a different kind from that of the partnership","Lending money to the partnership at interest","Receiving a share of the profits","Engaging in any business for himself without the consent of the other partners","D","An industrial partner cannot engage in any business for himself unless the partnership expressly permits it; otherwise the capitalist partners may exclude him or avail of the benefits with damages.","2"
"RFBT","Partnership Law","Fe is a capitalist partner in a bakery. The capitalist partners are silent on competing ventures. Which business may Fe engage in for her own account?","A business of a kind different from that of the partnership","Another bakery in the same city","Any food business including baking","No business at all during the partnership","A","A capitalist partner is prohibited only from engaging in the same line of business as the partnership; he may engage in a business of a different kind unless otherwise agreed.","2"
"RFBT","Partnership Law","The partnership agreement of GHI is silent on profit sharing. Gloria contributed P300,000, Hector P100,000, and Ignacio served as industrial partner. How are profits distributed absent agreement?","Equally among all three partners","Gloria and Hector equally, Ignacio nothing","Entirely to the capitalist partners in proportion to capital, with nothing for the industrial partner","The industrial partner receives a just and equitable share first, and the capitalist partners share in proportion to their capital contributions","D","Absent agreement, the industrial partner first receives such share as may be just and equitable, and the capitalist partners divide the remaining profits in proportion to their capital contributions.","3"
"RFBT","Partnership Law","A stipulation in the articles of partnership excludes Jaime from any share in the profits while still requiring him to bear losses. What is the effect of this stipulation?","The entire partnership contract is void","The stipulation is valid if Jaime consented in writing","The stipulation excluding him from profits is void, but the partnership itself remains valid","The stipulation merely makes the contract voidable","C","A stipulation excluding one or more partners from any share in the profits or losses is void, but the partnership contract subsists; the excluded matter is governed by the rules on profit and loss sharing.","2"
"RFBT","Partnership Law","Partnership KLM owes a trade creditor P900,000, but partnership assets are exhausted at P600,000. Kris and Leo are capitalist partners and Mario is the industrial partner. How is the P300,000 deficiency borne as to third persons?","Only the capitalist partners Kris and Leo are liable to the creditor","Only Mario, as the managing partner, is liable","No partner is personally liable once partnership assets are exhausted","All partners, including the industrial partner Mario, are liable pro rata with their separate property to the creditor","D","To third persons, all partners including the industrial partner are liable pro rata with their separate property after partnership assets are exhausted; the industrial partner may, however, seek reimbursement from the capitalist partners under their internal loss-sharing arrangement.","3"
"RFBT","Partnership Law","Nora was never a partner but allowed Olivia to represent to a supplier that Nora was a member of OPQ Partnership, and Nora knew of and consented to it. The supplier extended credit relying on this. What is Nora liable as?","A partner by estoppel, liable to the supplier as though she were an actual partner","Not liable, since she contributed no capital","Liable only for half the obligation","Liable only if she signed the credit agreement","A","One who by words or conduct represents himself, or consents to another representing him, as a partner is liable as a partner by estoppel to third persons who extend credit in reliance on the representation.","2"
"RFBT","Partnership Law","Which of the following is a cause that automatically dissolves a partnership by operation of law without need of any act of the partners?","A disagreement among partners on policy","The death of any partner","The retirement of a salaried employee","A temporary decline in profits","B","Dissolution occurs by operation of law upon the death of any partner, insolvency of a partner or the partnership, civil interdiction of a partner, or when a specific event makes the business unlawful, among others.","1"
"RFBT","Partnership Law","Upon liquidation of RST Partnership, after partnership assets are realized, in what order are the liabilities ranked for payment?","Capital first, then outside creditors, then profits","Those owing to outside creditors, then those owing to partners other than for capital and profits, then capital, then profits","Partner advances first, then outside creditors, then capital","Profits first, then capital, then outside creditors","B","The Civil Code ranks liabilities in liquidation as: first, those owing to creditors other than partners; second, those owing to partners other than for capital and profits (advances); third, those owing to partners for capital; and last, those owing to partners for profits.","3"
"RFBT","Partnership Law","In a limited partnership, Ulysses is a limited partner whose surname appears in the partnership name. What is the consequence?","The partnership name is void","He loses his entire contribution","He becomes liable as a general partner to creditors who did not know he was only a limited partner","Nothing, since limited partners may freely use their surnames","C","A limited partner whose surname appears in the partnership name is liable as a general partner to partnership creditors who extend credit without actual knowledge that he is only a limited partner, subject to the exceptions in the law.","2"
"RFBT","Partnership Law","Which act regarding partnership property generally requires the unanimous consent of all the partners?","Entering into ordinary contracts of sale of merchandise","Hiring an ordinary employee","Paying a routine utility bill","Any act of alteration of immovable property contributed to the partnership","D","While each partner is an agent for acts in the ordinary course of business, an act that alters immovable property of the partnership requires the unanimous consent of all the partners.","2"
"RFBT","Partnership Law","Partner Vicente, without authority and against the express prior agreement of all partners, sold partnership inventory to a buyer who had no knowledge of the restriction. Is the partnership bound?","Yes, the partnership is bound because the act was apparently for carrying on its business in the usual way and the buyer was in good faith","No, the sale is void in all cases","No, because the other partners did not consent","Yes, but only up to Vicente's capital share","A","An act of a partner apparently carrying on the partnership business in the usual way binds the partnership, even contrary to a private restriction, unless the third person had knowledge of the lack of authority.","3"
"RFBT","Partnership Law","Two persons orally agreed to form a partnership to engage in general trading with combined cash contributions of P5,000. They executed no document at all. Is a juridical personality created?","No, because partnerships always require registration with the SEC to exist","Yes, the partnership acquires juridical personality distinct from the partners even without a written instrument","No, because the contributions are below the statutory minimum capital","Yes, but only after one year of operation","B","A partnership has a juridical personality separate and distinct from each partner from the moment of the meeting of the minds; no writing or registration is required for juridical personality where no immovable property is contributed.","2"
"RFBT","Partnership Law","Industrial partner Wendy was compelled to pay a partnership creditor from her own funds because partnership assets were insufficient. As between the partners, what is her right?","She must absorb the payment as her share of the losses","She may demand double the amount as a penalty","She is entitled to reimbursement from the capitalist partners, since an industrial partner is exempt from losses among the partners","She loses her right to future profits","C","Although the industrial partner is liable to third persons, as among the partners he is exempt from losses; thus he is entitled to reimbursement from the capitalist partners for amounts he paid to creditors.","3"
