"subject_code","topic","stem","choice_a","choice_b","choice_c","choice_d","correct","explanation","difficulty"
"AFAR","Business Combinations","Under PFRS 3, which of the following costs incurred in a business combination is expensed as incurred rather than included in the consideration transferred?","Legal and due-diligence advisory fees","Fair value of contingent consideration","Fair value of shares issued to former owners","Cash paid to the acquiree owners","A","Acquisition-related costs such as legal, advisory, accounting, and valuation fees are expensed in the period incurred under PFRS 3. They are not part of consideration transferred.","1"
"AFAR","Business Combinations","Pine Corp acquired all net assets of Oak Corp for P5,000,000 cash. The fair value of Oak identifiable net assets was P4,300,000. How much goodwill arises?","P700,000","P0","P4,300,000","P5,000,000","A","Goodwill = consideration transferred P5,000,000 − fair value of net identifiable assets P4,300,000 = P700,000.","1"
"AFAR","Business Combinations","Maple Inc issued 100,000 of its shares with a fair value of P40 each to acquire Birch Co. Direct share-issuance costs of P150,000 were paid in cash. How is the P150,000 accounted for?","Added to goodwill","Expensed in profit or loss","Deducted from share premium (equity)","Capitalized as an intangible asset","C","Costs to issue equity instruments are deducted from equity (share premium) under PFRS 3 and PAS 32, not expensed and not added to goodwill.","1"
"AFAR","Business Combinations","Cedar Corp acquired 100% of Elm Corp by transferring cash of P3,000,000 and agreeing to pay an additional P500,000 if Elm meets an earnings target; the fair value of this contingent consideration at acquisition is P420,000. Total consideration transferred is:","P3,000,000","P3,500,000","P3,420,000","P3,920,000","C","Consideration transferred includes contingent consideration at its acquisition-date fair value: P3,000,000 + P420,000 = P3,420,000. The undiscounted maximum P500,000 is not used.","2"
"AFAR","Business Combinations","Willow Corp acquired 80% of Ash Corp. Consideration transferred was P4,000,000; the fair value of the 20% NCI was P950,000; fair value of Ash identifiable net assets was P4,500,000. Goodwill under the full (fair value) method is:","P0","P500,000","P450,000","P950,000","C","Goodwill (full) = consideration P4,000,000 + NCI at FV P950,000 − FV of net identifiable assets P4,500,000 = P450,000.","2"
"AFAR","Business Combinations","Using the same facts (consideration P4,000,000 for 80%; FV of net identifiable assets P4,500,000), goodwill under the partial (proportionate NCI) method is:","P400,000","P450,000","P500,000","P900,000","A","Partial goodwill: NCI = 20% x P4,500,000 = P900,000. Goodwill = P4,000,000 + P900,000 − P4,500,000 = P400,000. Only the parent share of goodwill is recognized.","2"
"AFAR","Business Combinations","Spruce Corp acquired all of Fir Corp for cash of P2,800,000 when the fair value of Fir identifiable net assets was P3,100,000. The difference is:","Goodwill of P300,000","Deferred and amortized over 10 years","A bargain purchase gain of P300,000 recognized in OCI","A bargain purchase gain of P300,000 recognized in profit or loss","D","When net identifiable assets exceed consideration, a bargain purchase gain of P3,100,000 − P2,800,000 = P300,000 is recognized in profit or loss after reassessment.","2"
"AFAR","Business Combinations","During the measurement period, the acquirer obtains new information about facts existing at acquisition date that increases the fair value of an acquired building by P200,000. The proper treatment is to:","Recognize a P200,000 gain in profit or loss","Ignore it as a post-combination event","Recognize P200,000 in OCI","Retrospectively adjust goodwill downward by P200,000","D","Measurement-period adjustments for facts existing at acquisition date are recognized retrospectively; increasing the asset reduces goodwill by P200,000.","1"
"AFAR","Business Combinations","Holly Corp previously held a 30% interest in Berry Corp carried at P900,000; its fair value on the date Holly acquires the remaining 70% is P1,050,000. In the step acquisition, Holly must:","Ignore the difference","Add P150,000 to share premium","Recognize P150,000 directly in retained earnings","Recognize a P150,000 remeasurement gain in profit or loss","D","In a business combination achieved in stages, the previously held equity interest is remeasured to fair value with the resulting P1,050,000 − P900,000 = P150,000 gain recognized in profit or loss.","2"
"AFAR","Business Combinations","Olive Corp acquires 70% of Date Corp by transferring cash of P2,100,000. The fair value of the 30% NCI is P850,000, and the previously-held interest was nil. Fair value of Date identifiable net assets is P2,600,000. Goodwill (full method) is:","P0","P350,000","P500,000","P850,000","B","Goodwill = consideration P2,100,000 + NCI at FV P850,000 − FV net identifiable assets P2,600,000 = P350,000.","2"
