subject_code,topic,stem,choice_a,choice_b,choice_c,choice_d,correct,explanation,difficulty
"TAX","General Principles of Taxation","Which statement best reflects the lifeblood doctrine?","Taxes may be offset against the government's unpaid obligations to the taxpayer","Courts may freely enjoin the collection of taxes upon a showing of inconvenience","The prompt and certain availability of taxes is essential because the government cannot continue to exist without revenue","The government is bound by the mistakes of its revenue officers under the principle of estoppel","C","Under the lifeblood doctrine, taxes are the lifeblood of the State and their prompt and certain availability is an imperious need. This is why collection generally cannot be enjoined, taxes are not subject to set-off, and the State is not estopped by errors of its agents.","1"
"TAX","General Principles of Taxation","Which of the three inherent powers of the State may also be exercised by public service companies and public utilities?","Taxation","Eminent domain","Police power","All three inherent powers","B","Eminent domain may be delegated to and exercised by public service companies and public utilities. Taxation and police power are exercised only by the government or its political subdivisions.","1"
"TAX","General Principles of Taxation","The BASIS of taxation, as distinguished from its theory, is:","The reciprocal duties of protection by the State and support by its citizens","The principle that the existence of government is a necessity","The rule that taxes are the lifeblood of the nation","The doctrine that the power to tax involves the power to destroy","A","The basis of taxation is the benefits-protection theory: the citizen supports the State and the State protects the citizen. The theory of taxation, by contrast, is necessity or the lifeblood concept.","2"
"TAX","General Principles of Taxation","Under the canons of a sound tax system, fiscal adequacy means:","Tax laws must be capable of convenient, just and effective administration","The tax burden must be proportionate to the taxpayer's ability to pay","Tax rates must be identical in every province and city","Sources of revenue must be sufficient and elastic enough to meet the expanding expenditures of government","D","Fiscal adequacy requires that revenue sources, as a whole, be adequate and flexible enough to fund government needs. Choice A describes administrative feasibility and choice B describes theoretical justice.","1"
"TAX","General Principles of Taxation","Congress enacts a tax measure that proves extremely costly and burdensome for both the BIR and taxpayers to administer. Which is correct?","The law is void for violating the principle of administrative feasibility","The law remains valid because administrative feasibility is a canon of a sound tax system, not a constitutional requirement","The law is void unless the Department of Finance certifies it as collectible","The law is automatically suspended until simplified regulations are issued","B","Non-observance of administrative feasibility, one of the canons of a sound tax system, does not by itself invalidate a tax law. Only violations of inherent or constitutional limitations render a tax law void.","2"
"TAX","General Principles of Taxation","Theoretical justice as a principle of a sound tax system requires that:","The tax burden be proportionate to the taxpayer's ability to pay","Revenue sources be elastic enough to fund all government programs","Tax laws be convenient and economical to administer","Taxes be collected exclusively from corporations with large profits","A","Theoretical justice means taxes must be based on the taxpayer's ability to pay, echoing the constitutional directive to evolve a progressive system of taxation.","1"
"TAX","General Principles of Taxation","Which of the following is an INHERENT limitation on the power of taxation?","No person shall be deprived of property without due process of law","No person shall be denied the equal protection of the laws","No law impairing the obligation of contracts shall be passed","Taxation may be exercised only within the territorial jurisdiction of the taxing authority","D","Territoriality is an inherent limitation that exists even without the Constitution. Due process, equal protection and non-impairment are constitutional limitations.","1"
"TAX","General Principles of Taxation","Which delegation of the taxing power is INVALID?","Congress authorizes the President, within specified limits, to adjust tariff rates under the flexible tariff clause","The Constitution grants local government units the power to create their own sources of revenue","A statute authorizes the Secretary of Finance to select which businesses to tax and to fix the applicable tax rates","The BIR issues regulations prescribing the manner of filing returns under an existing tax law","C","The power to select the subjects of taxation and fix rates is purely legislative and cannot be delegated to an executive official. Tariff flexibility, local taxation and purely administrative implementation are recognized exceptions to non-delegation.","2"
"TAX","General Principles of Taxation","The constitutional rule that taxation shall be uniform means:","All taxpayers must pay exactly the same amount of tax","All subjects or objects belonging to the same class are taxed at the same rate","A single tax rate must apply nationwide to all kinds of income","Taxes must always be progressive in structure","B","Uniformity requires that persons or things belonging to the same class be taxed at the same rate; valid classification is allowed. It does not require equal amounts from every taxpayer.","1"
"TAX","General Principles of Taxation","A religious order owns a building whose ground floor is leased to a commercial bakery while the upper floors are used as a convent. For real property tax purposes:","Only the portion actually, directly and exclusively used for religious purposes is exempt; the leased ground floor is taxable","The entire building is exempt because the owner is a religious order","The entire building is taxable because part of it is used commercially","The building is exempt only if the rental income is donated to charity","A","The constitutional exemption attaches to actual, direct and exclusive USE of the property for religious, charitable or educational purposes, not to ownership. The portion leased out for commerce loses the exemption.","2"
